mission_id,split,site,drone_model,thermal_camera,rgb_camera,pilot,operator,total_frames,anomaly_frames,anomaly_rate_pct,flight_date,weather,inspection_type,regulatory_clearance,firmware_version
MISSION_0011,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",Skydio X10,FLIR Zenmuse H20T,Sony ILX-LR1 (4K),PILOT_002,TASL,610,172,28.2,2024-01-12,partly_cloudy,routine,DGCA-UAS-82571,v9.8.79
MISSION_0012,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",Skydio X10,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_007,TowerCo India,1510,192,12.72,2024-03-09,overcast,routine,DGCA-UAS-20932,v5.6.85
MISSION_0013,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 300 RTK,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_009,Indus Towers,640,0,0.0,2024-06-17,haze,emergency,DGCA-UAS-82784,v5.4.07
MISSION_0014,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",DJI Matrice 300 RTK,DJI Zenmuse H30T,DJI DL 50mm,PILOT_005,GTL Infra,1630,192,11.78,2024-10-12,haze,routine,DGCA-UAS-44527,v5.9.58
MISSION_0015,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_006,TASL,1180,51,4.32,2024-06-13,clear,post_storm,DGCA-UAS-17679,v5.8.92
MISSION_0016,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_003,Indus Towers,720,222,30.83,2024-02-28,overcast,post_storm,DGCA-UAS-41771,v8.1.89
MISSION_0017,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",Skydio X10,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_006,GTL Infra,800,0,0.0,2024-10-03,overcast,routine,DGCA-UAS-71447,v9.2.56
MISSION_0018,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Parrot ANAFI USA,FLIR Vue Pro R,DJI DL 50mm,PILOT_010,TASL,890,304,34.16,2024-11-19,clear,routine,DGCA-UAS-29713,v9.1.13
MISSION_0019,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",Skydio X10,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_010,Indus Towers,620,101,16.29,2024-04-24,haze,post_storm,DGCA-UAS-13036,v9.8.20
MISSION_0020,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Parrot ANAFI USA,DJI Zenmuse H30T,DJI DL 50mm,PILOT_005,TowerCo India,1390,152,10.94,2024-02-23,overcast,emergency,DGCA-UAS-62583,v8.4.32
MISSION_0021,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",DJI Matrice 30T,DJI Zenmuse H30T,Hasselblad L2D-20c,PILOT_007,GTL Infra,1530,313,20.46,2024-12-26,partly_cloudy,emergency,DGCA-UAS-71968,v8.8.22
MISSION_0022,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",DJI Matrice 30T,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_005,GTL Infra,850,121,14.24,2024-03-16,haze,routine,DGCA-UAS-99497,v6.2.03
MISSION_0023,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",Parrot ANAFI USA,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_003,Indus Towers,1470,61,4.15,2024-09-16,haze,emergency,DGCA-UAS-69022,v8.3.07
MISSION_0024,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",Skydio X10,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_009,TASL,1100,222,20.18,2024-01-09,haze,commissioning,DGCA-UAS-61745,v6.8.06
MISSION_0025,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",Parrot ANAFI USA,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_010,TASL,750,0,0.0,2024-08-28,haze,post_storm,DGCA-UAS-91523,v9.8.51
MISSION_0026,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,FLIR Vue Pro R,DJI DL 50mm,PILOT_005,Indus Towers,990,293,29.6,2024-09-04,partly_cloudy,routine,DGCA-UAS-85871,v7.2.03
MISSION_0027,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",DJI Matrice 30T,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_003,TASL,1020,363,35.59,2024-02-18,partly_cloudy,routine,DGCA-UAS-42058,v6.2.97
MISSION_0028,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",DJI Matrice 30T,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_004,Indus Towers,850,322,37.88,2024-10-26,overcast,emergency,DGCA-UAS-73034,v9.0.77
MISSION_0029,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",Parrot ANAFI USA,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_006,GTL Infra,880,121,13.75,2024-01-07,partly_cloudy,post_storm,DGCA-UAS-63317,v9.4.66
MISSION_0030,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",DJI Matrice 30T,DJI Zenmuse H30T,DJI DL 50mm,PILOT_006,Indus Towers,750,0,0.0,2024-04-01,partly_cloudy,post_storm,DGCA-UAS-22076,v8.4.93
MISSION_0031,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",DJI Matrice 300 RTK,DJI Zenmuse H30T,DJI DL 50mm,PILOT_003,Indus Towers,990,121,12.22,2024-02-04,overcast,emergency,DGCA-UAS-83432,v8.5.59
MISSION_0032,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",Parrot ANAFI USA,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_005,GTL Infra,1750,0,0.0,2024-09-18,clear,emergency,DGCA-UAS-60298,v7.4.40
MISSION_0033,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 300 RTK,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_010,TowerCo India,1600,81,5.06,2024-01-13,clear,post_storm,DGCA-UAS-64968,v5.3.35
MISSION_0034,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",Parrot ANAFI USA,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_009,GTL Infra,860,0,0.0,2024-10-17,partly_cloudy,commissioning,DGCA-UAS-81836,v5.9.92
MISSION_0035,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 30T,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_010,TowerCo India,1390,192,13.81,2024-04-01,overcast,routine,DGCA-UAS-20525,v9.7.35
MISSION_0036,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_005,TowerCo India,1530,172,11.24,2024-05-20,partly_cloudy,routine,DGCA-UAS-10249,v5.0.51
MISSION_0037,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",DJI Matrice 30T,DJI Zenmuse H30T,Hasselblad L2D-20c,PILOT_009,Indus Towers,790,0,0.0,2024-07-07,partly_cloudy,emergency,DGCA-UAS-83735,v8.9.14
MISSION_0038,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",DJI Matrice 300 RTK,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_009,GTL Infra,1070,31,2.9,2024-02-22,partly_cloudy,commissioning,DGCA-UAS-24831,v6.6.22
MISSION_0039,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",Parrot ANAFI USA,Teledyne FLIR Boson+,Sony ILX-LR1 (4K),PILOT_010,TASL,1430,61,4.27,2024-07-26,overcast,post_storm,DGCA-UAS-21299,v6.6.89
MISSION_0040,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",DJI Matrice 300 RTK,FLIR Vue Pro R,DJI DL 50mm,PILOT_010,Indus Towers,910,171,18.79,2024-02-21,overcast,emergency,DGCA-UAS-36008,v8.5.26
MISSION_0041,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",Parrot ANAFI USA,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_007,TowerCo India,870,31,3.56,2024-11-14,haze,commissioning,DGCA-UAS-23303,v9.9.77
MISSION_0042,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_009,TowerCo India,1770,194,10.96,2024-06-19,partly_cloudy,routine,DGCA-UAS-62616,v5.6.23
MISSION_0043,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 300 RTK,DJI Zenmuse H30T,Hasselblad L2D-20c,PILOT_002,Indus Towers,1060,51,4.81,2024-12-26,overcast,post_storm,DGCA-UAS-92132,v9.6.58
MISSION_0044,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",Parrot ANAFI USA,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_010,TowerCo India,940,353,37.55,2024-07-26,haze,post_storm,DGCA-UAS-46105,v6.7.79
MISSION_0045,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",Skydio X10,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_010,GTL Infra,1020,61,5.98,2024-02-19,haze,emergency,DGCA-UAS-27502,v6.4.24
MISSION_0046,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,Sony ILX-LR1 (4K),PILOT_004,GTL Infra,1480,0,0.0,2024-07-04,clear,emergency,DGCA-UAS-74070,v5.1.17
MISSION_0047,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",DJI Matrice 300 RTK,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_004,TowerCo India,840,82,9.76,2024-03-14,clear,emergency,DGCA-UAS-95408,v8.3.00
MISSION_0048,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Parrot ANAFI USA,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_006,GTL Infra,1250,263,21.04,2024-04-08,overcast,routine,DGCA-UAS-52344,v9.6.45
MISSION_0049,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 30T,DJI Zenmuse H30T,DJI DL 50mm,PILOT_009,GTL Infra,970,292,30.1,2024-10-14,partly_cloudy,commissioning,DGCA-UAS-67813,v6.9.30
MISSION_0050,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",Skydio X10,FLIR Zenmuse H20T,Sony ILX-LR1 (4K),PILOT_002,TowerCo India,760,61,8.03,2024-07-15,haze,commissioning,DGCA-UAS-82198,v7.2.86
MISSION_0051,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",Skydio X10,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_006,TowerCo India,920,241,26.2,2024-01-25,haze,routine,DGCA-UAS-55918,v8.2.19
MISSION_0052,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",DJI Matrice 30T,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_003,TASL,870,222,25.52,2024-12-22,haze,routine,DGCA-UAS-14012,v9.5.63
MISSION_0053,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",Parrot ANAFI USA,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_004,TASL,1000,0,0.0,2024-09-05,partly_cloudy,post_storm,DGCA-UAS-38290,v9.8.60
MISSION_0054,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",DJI Matrice 30T,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_004,TASL,1730,273,15.78,2024-09-28,haze,emergency,DGCA-UAS-44679,v5.3.80
MISSION_0055,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 300 RTK,FLIR Vue Pro R,DJI DL 50mm,PILOT_005,Indus Towers,720,292,40.56,2024-10-03,haze,emergency,DGCA-UAS-23181,v6.9.66
MISSION_0056,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Skydio X10,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_004,TASL,780,0,0.0,2024-05-09,partly_cloudy,routine,DGCA-UAS-98197,v9.2.66
MISSION_0057,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",Parrot ANAFI USA,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_010,GTL Infra,810,0,0.0,2024-11-05,partly_cloudy,routine,DGCA-UAS-34106,v6.0.43
MISSION_0058,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",DJI Matrice 300 RTK,FLIR Vue Pro R,Sony ILX-LR1 (4K),PILOT_010,Indus Towers,1580,0,0.0,2024-03-28,clear,emergency,DGCA-UAS-74652,v9.5.78
MISSION_0059,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 300 RTK,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_002,Indus Towers,1490,41,2.75,2024-05-16,partly_cloudy,commissioning,DGCA-UAS-48968,v9.5.07
MISSION_0060,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_003,TowerCo India,1450,122,8.41,2024-07-21,clear,emergency,DGCA-UAS-79100,v9.3.22
MISSION_0061,train,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",Parrot ANAFI USA,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_004,TowerCo India,940,0,0.0,2024-12-05,clear,emergency,DGCA-UAS-91718,v8.0.95
MISSION_0062,train,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",DJI Matrice 300 RTK,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_007,TowerCo India,1050,0,0.0,2024-08-02,partly_cloudy,routine,DGCA-UAS-91242,v6.8.13
MISSION_0063,train,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 300 RTK,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_007,TASL,1480,0,0.0,2024-05-17,partly_cloudy,post_storm,DGCA-UAS-88888,v5.8.71
MISSION_0064,train,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",DJI Matrice 30T,FLIR Zenmuse H20T,Hasselblad L2D-20c,PILOT_001,Indus Towers,1660,102,6.14,2024-04-12,overcast,emergency,DGCA-UAS-14716,v5.6.06
MISSION_0065,train,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 30T,DJI Zenmuse H30T,Sony ILX-LR1 (4K),PILOT_005,GTL Infra,1410,71,5.04,2024-05-18,clear,routine,DGCA-UAS-64219,v8.0.14
MISSION_0066,train,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",DJI Matrice 30T,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_006,TowerCo India,940,203,21.6,2024-07-04,haze,commissioning,DGCA-UAS-96760,v9.0.08
MISSION_0067,train,"{'site_id': 'SITE_AMD_008', 'lat': 23.0225, 'lon': 72.5714, 'city': 'Ahmedabad', 'tower_type': 'lattice', 'height_m': 45}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_007,TASL,1110,193,17.39,2024-09-15,haze,routine,DGCA-UAS-32008,v6.0.49
MISSION_0068,train,"{'site_id': 'SITE_JAI_009', 'lat': 26.9124, 'lon': 75.7873, 'city': 'Jaipur', 'tower_type': 'monopole', 'height_m': 33}",Skydio X10,FLIR Zenmuse H20T,DJI DL 50mm,PILOT_006,GTL Infra,1290,152,11.78,2024-05-07,haze,post_storm,DGCA-UAS-89602,v6.7.32
MISSION_0069,train,"{'site_id': 'SITE_LKN_010', 'lat': 26.8467, 'lon': 80.9462, 'city': 'Lucknow', 'tower_type': 'guyed', 'height_m': 52}",DJI Matrice 30T,Teledyne FLIR Boson+,DJI DL 50mm,PILOT_006,GTL Infra,1120,0,0.0,2024-12-11,haze,routine,DGCA-UAS-33737,v6.5.97
MISSION_0070,train,"{'site_id': 'SITE_BOM_001', 'lat': 19.076, 'lon': 72.8777, 'city': 'Mumbai', 'tower_type': 'lattice', 'height_m': 42}",DJI Matrice 30T,FLIR Vue Pro R,Hasselblad L2D-20c,PILOT_010,TowerCo India,1560,172,11.03,2024-07-28,partly_cloudy,post_storm,DGCA-UAS-62448,v9.4.76
MISSION_0071,val,"{'site_id': 'SITE_DEL_002', 'lat': 28.6139, 'lon': 77.209, 'city': 'Delhi', 'tower_type': 'monopole', 'height_m': 35}",DJI Matrice 30T,Teledyne FLIR Boson+,Sony ILX-LR1 (4K),PILOT_001,GTL Infra,1060,0,0.0,2024-06-07,overcast,routine,DGCA-UAS-54630,v5.6.83
MISSION_0072,val,"{'site_id': 'SITE_BLR_003', 'lat': 12.9716, 'lon': 77.5946, 'city': 'Bengaluru', 'tower_type': 'lattice', 'height_m': 55}",Parrot ANAFI USA,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_009,GTL Infra,1130,0,0.0,2024-09-06,clear,routine,DGCA-UAS-79402,v7.8.88
MISSION_0073,val,"{'site_id': 'SITE_CHE_004', 'lat': 13.0827, 'lon': 80.2707, 'city': 'Chennai', 'tower_type': 'monopole', 'height_m': 38}",DJI Matrice 300 RTK,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_001,GTL Infra,1500,0,0.0,2024-04-25,haze,routine,DGCA-UAS-25035,v5.6.23
MISSION_0074,val,"{'site_id': 'SITE_HYD_005', 'lat': 17.385, 'lon': 78.4867, 'city': 'Hyderabad', 'tower_type': 'guyed', 'height_m': 60}",DJI Matrice 30T,Teledyne FLIR Boson+,Hasselblad L2D-20c,PILOT_006,GTL Infra,1590,0,0.0,2024-11-22,haze,emergency,DGCA-UAS-89428,v7.1.21
MISSION_0075,val,"{'site_id': 'SITE_KOL_006', 'lat': 22.5726, 'lon': 88.3639, 'city': 'Kolkata', 'tower_type': 'lattice', 'height_m': 48}",DJI Matrice 30T,DJI Zenmuse H30T,DJI DL 50mm,PILOT_008,Indus Towers,1040,51,4.9,2024-10-25,partly_cloudy,post_storm,DGCA-UAS-49117,v8.6.40
MISSION_0076,val,"{'site_id': 'SITE_PUN_007', 'lat': 18.5204, 'lon': 73.8567, 'city': 'Pune', 'tower_type': 'monopole', 'height_m': 30}",Parrot ANAFI USA,DJI Zenmuse H30T,Hasselblad L2D-20c,PILOT_001,TowerCo India,1740,143,8.22,2024-02-13,overcast,routine,DGCA-UAS-63857,v9.5.07
